date,MKTB,DRF,MKTBD,CRF,VAL,CRY,MOMB,LTREVB,DUR,HMLB,STREVB,SZE,DEF,TERM,PEADB,MOMBS,BAB,CMA,CMAs,CPTLT,FIN,HML,HML_DEV,HMLs,LIQ,LTREV,MGMT,MKTS,MKTSs,MOMS,PEAD,PERF,QMJ,RMW,RMWs,R_IA,R_ROE,SMB,SMBs,STREV
31/01/1986,0.002716993,0.001806773,0.004284225,0.005567158,-0.000647347,0.003104348,-0.000723423,-0.002406677,0.001330896,0.001367199,0.005722533,0.005405284,0.007,-0.009,-0.001104575,-0.004311456,0.018123272,-0.0203,-0.0016,0.0266,-0.029669379,0.0044,-0.006387411,0.005,0.01882153,-0.0275,-0.010675206,0.0065,0.001,0.03,0.015093968,-0.003370113,-0.018505506,-0.02,-0.011,-0.006883,0.01653,0.0101,0.0179,0.0084
28/02/1986,0.049346663,0.055651651,-0.017738356,-0.009000753,-0.045101688,-0.018238028,0.051647675,-0.001018906,0.048543013,0.058413634,0.005719993,0.017828539,-0.0393,0.1089,0.00656023,0.006542552,0.043998243,-0.012,0.0016,0.115,0.001503969,-0.0072,-0.022152844,0.004,0.00280428,-0.0362,-0.011856198,0.0713,0.0642,0.0276,0.022493667,0.016375201,0.014426517,0.0106,0.0067,-0.014016,0.023756,-0.0071,-0.0079,-0.0169
31/03/1986,0.020020041,0.014828568,-0.038617153,0.000618347,-0.006738424,-0.007403498,0.006583513,0.000747103,0.001768961,0.021627409,-0.011199729,0.004083485,-0.0514,0.0717,0.000105225,-0.001941143,0.045281287,0.0092,0.0062,0.0795,0.008673688,-0.0039,-0.006542036,-0.0142,0.03946652,-0.0266,0.001661924,0.0488,0.0509,0.0241,0.002491081,0.016772065,0.007688108,0.0121,0.0081,0.010909,0.020581,-0.0066,0.0133,-0.0007
30/04/1986,-0.003266284,-0.007662862,-0.000941272,0.00142133,0.007182766,0.021348833,-0.011364747,-0.005328921,-0.014337753,0.010453186,0.002502404,0.008759144,0.0096,-0.014,8.61E-06,-0.004032298,0.018679963,0.0003,-0.0005,-0.0561,0.013521234,-0.0287,-0.029710314,-0.02,-0.00513904,-0.0124,-0.003299229,-0.0131,0.0176,-0.0037,0.009418341,0.024420473,0.02093924,0.0291,0.0236,-0.01576,0.006493,0.0284,0.0037,0.0282
31/05/1986,-0.016400332,-0.017938431,0.029994886,0.012804499,0.020039046,0.021048553,-0.025406204,-0.001263631,-0.016397545,-0.014835138,-0.001051455,-0.006319059,0.0341,-0.0557,-0.002027979,0.001282425,0.033244408,0.0108,0.0081,0.0323,0.030105003,-0.0021,-0.003206624,-0.0083,0.02732007,-0.0149,0.001916214,0.0462,0.0596,0.0205,0.009228707,0.023557073,0.007863436,0.0213,0.01,0.012884,0.033762,-0.0129,-0.0115,0.0105
30/06/1986,0.013940222,0.007080434,-0.031347812,-0.005673883,-0.001550344,-0.004790562,0.002751795,-8.03E-05,-0.000177106,0.008863414,0.010814152,0.001173665,-0.0395,0.0564,-0.000576906,-0.001715069,0.051179078,0.0087,0.0003,-0.044,0.031566206,0.0128,-0.011754138,-0.0063,0.05863968,-0.064,0.006914639,0.0103,0.0639,0.0507,0.025900892,0.032510057,0.021252682,0.018,0.0103,0.016555,0.052598,-0.0089,-0.0044,-0.0248
31/07/1986,-0.00189145,-0.001719879,-0.000854344,-0.001648563,0.001340578,0.000617326,-0.002480499,-0.002006308,0.000147407,0.000300147,0.008724993,0.005475694,0.0139,-0.016,0.000873553,0.001999081,0.014194306,0.0084,0.0163,-0.0837,0.024217687,0.047,0.033622813,0.0244,-0.01490146,-0.0384,0.018415226,-0.0645,0.0074,0.0183,0.008107604,0.003042725,0.015604554,-0.0054,-0.0051,0.013922,0.029692,-0.0346,-0.0066,-0.0286
31/08/1986,0.016972261,0.009893146,-0.013027925,-0.008804192,-0.005760116,-0.002058875,0.009694468,0.000436462,0.004044417,0.009783157,0.008286333,0.001481108,-0.0224,0.0447,-0.000370796,0.004620492,-0.015854689,0.0321,0.0186,0.0941,0.012122246,0.0351,0.058376357,0.032,-0.02610917,0.0475,0.025512386,0.0607,0.0251,-0.0528,-0.001005973,-0.03149206,-0.019448007,-0.0166,-0.0081,0.030475,-0.02709,-0.0435,-0.0263,0.0114
30/09/1986,-0.006227467,-0.008904365,0.023400063,0.017860655,0.015011015,0.016771498,0.001024614,-0.00119902,-0.006329493,-0.009510945,0.014366298,0.001198989,0.0386,-0.0546,0.000306513,0.001884688,-0.024360482,0.0371,0.0286,-0.125,0.014203015,0.0322,0.05158061,0.0349,0.04365573,0.0391,0.023325631,-0.086,-0.0754,-0.0579,-0.015496597,-0.027218393,-0.008212914,-0.0008,-0.0076,0.033766,-0.037962,0.0205,0.0248,-0.0031
31/10/1986,0.012662186,0.007504252,0.001125019,-0.001198035,-0.004028857,0.002716639,-0.004423806,-0.000200142,0.004607134,0.008373016,0.009791553,0.001887794,-0.01,0.0244,0.001295171,0.002217983,-0.014612216,0.01,0.0219,0.0667,-0.007208293,-0.0142,-0.014412806,-0.0023,0.01596314,0.0072,0.000934447,0.0466,0.0131,0.0446,0.046249276,0.041813684,0.005936437,-0.0005,-0.0009,0.005282,0.01505,-0.0233,-0.0108,0.0358
30/11/1986,0.011250866,0.008120398,0.000960371,-0.005291326,-0.009811887,-0.002001184,-0.005475292,0.000773692,0.010468793,0.009053597,-0.000804755,0.00628638,-0.0034,0.0221,-0.000649393,0.002105314,-0.009658807,0.0067,0.0072,-0.0148,0.030115717,-0.0007,0.003334255,0.004,-0.03037115,0.0024,0.014726115,0.0117,0.0097,-0.0026,0.007585032,0.026667939,0.02427426,0.0109,0.0077,0.003816,0.011185,-0.0188,-0.0081,0.0071
31/12/1986,0.004824772,0.004534015,0.009491208,-0.000400292,-0.001580762,0.003167584,3.67E-05,-0.000444755,0.00346424,0.003988525,-0.000400592,-0.000323367,0.0135,-0.0057,0.001540737,0.001473059,-0.022155717,0.0009,-0.0049,-0.0284,0.015117653,0.0036,-0.000257441,-0.0049,-0.01180831,0.0058,0.007269728,-0.0327,-0.0314,0.0035,0.009053302,0.003397419,0.014968149,0.0079,0.0127,0.010676,0.018948,0.0012,0.012,0.0061
