date,UNC,UNCf,UNCr,VIX,INFLV,INFLC,CPTL,LVL,YSP,LIQNT,EPU,EPUT,IVOL,CREDIT
31/01/1986,0.012503631,-0.002941748,0.012757745,0.0151,0.004754576,-0.001405434,0.0206,2.454695902,0.007380655,-0.03721785,0.02268901,0.01887119,0.577769453,0.0139
28/02/1986,0.016975284,0.009369025,0.016067776,0.0134,0.004310937,0.001962497,0.1103,1.880802633,0.00415189,0.01992839,0.00353476,0.040286756,0.612914181,0.0144
31/03/1986,0.024444507,0.031803047,0.018807152,0.0176,0.008506343,-0.000878012,0.0697,1.264841367,0.005373057,0.044051,0.00073041,-0.092790196,0.646333235,0.015
30/04/1986,0.004477676,0.002205474,-0.002140415,0.0353,0.014556445,0.000165672,-0.0467,1.251760882,0.008261867,0.02365303,-0.00983183,0.014440978,0.659433483,0.014
31/05/1986,-0.01447323,0.004440602,-0.010569471,-0.0278,0.015623375,0.001048864,0.0359,1.734461411,0.011232892,0.01866728,-0.01772835,-0.017105076,0.66078962,0.012
30/06/1986,-0.00641429,0.021627802,-0.003666432,-0.0364,0.014592583,-0.001243383,-0.0366,1.275065529,0.010660562,-0.06443195,-0.01012613,0.056312867,0.66578372,0.0121
31/07/1986,-0.006650771,0.028721511,0.005743212,-0.0043,0.013947823,0.000673959,-0.0741,1.227417593,0.010522618,0.01892841,0.00960785,0.01576116,0.625310635,0.0128
31/08/1986,-0.010269295,0.053629268,-0.009283434,0.0153,0.012635326,0.001033127,0.0904,0.818683363,0.011917648,0.01217406,-0.00456714,0.038649709,0.579184593,0.0146
30/09/1986,-0.004714611,0.015645968,-0.006662777,-0.0077,0.012596586,0.000511888,-0.1447,1.19497419,0.014039994,-0.02456268,0.00446584,0.01568675,0.561837349,0.0131
31/10/1986,0.006413056,0.018806191,0.008360361,0.0627,0.00957443,0.000506829,0.058,1.070756567,0.011000971,0.06243723,-0.02050907,-0.079808416,0.571584874,0.0138
30/11/1986,-0.003657305,-0.020493847,-0.002987296,-0.0631,0.00436748,0.000501805,-0.0123,0.9862291,0.009294313,0.02188727,0.00351103,-0.037818743,0.549627706,0.0139
31/12/1986,0.00515496,-0.010272115,-0.000499327,0.0067,0.00432633,-0.000370112,-0.0515,1.085670616,0.00778173,0.0323153,-0.00605218,0.013390717,0.530520133,0.0148
31/01/1987,0.01925725,0.014648725,0.023350234,-0.0045,0.004287141,0.00013603,0.0901,0.996807594,0.008132677,-0.0098514,0.01314616,0.037012017,0.560127595,0.0136
28/02/1987,0.01268836,0.035587765,0.017912884,0.0465,0.005716443,0.000133246,-0.0018,1.004406785,0.007414188,0.02514955,-0.01296903,-0.091385068,0.582407421,0.0127
