,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM,ST_Rev,LT_Rev,BAB,QMJ
196307,1.1234,-0.1481,0.5563,0.1097,-1.3212,-1.8721,0.2945,-0.8445,-1.9644,-1.1889,-2.3295,-1.3042,-0.7967,-2.2305,-1.7984,-0.8456,-1.7052,-2.0042,-1.6657,-1.8567,0.1401,0.4524,1.2557,-0.429,-1.1026,0.05,-2.19,-2.54,-3.48,-0.04,-0.15,-0.67,0.56,-1,3.49,-0.78,-1.59,-3.08,-2.43,-0.15,-3.67,-2.9,0.32,2.34,0.8,-0.23,-3.48,-0.55,-1.38,-2.54,0.04,-1.06,-4.21,-0.61,-2.38,-0.39,-0.47,-0.83,0.66,-1.15,0.27,1,-0.03,-1.19,0.81,0.68
196308,4.2429,1.4831,1.3214,2.3701,4.6745,5.3983,4.6462,4.3639,4.4188,8.2329,5.2577,5.0255,5.4633,4.8264,5.1541,5.3965,4.7614,6.2068,7.5619,5.3469,5.771,4.223,4.7487,8.1419,6.3824,4.82,2.14,7.15,6.08,4.66,6.22,4.83,9.56,4.61,4.3,6.04,8.31,4.62,5.17,7.2,3.27,4.02,7.48,3.85,4.2,4.29,2.68,5.23,7.7,7.37,4.22,6.65,1.07,4.28,6.25,5.07,-0.79,1.67,0.39,-0.4,0.25,1.03,1.4,1.62,-1.22,-0.99
196309,-2.8922,0.7027,-1.0869,-1.5812,-0.3581,-3.9164,-1.5713,-0.6417,-1.1812,-2.9149,-4.4644,-1.5314,-0.4876,-0.3268,-1.8203,-2.6893,-2.0139,-1.8941,-3.5823,-1.9943,-1.3721,-0.772,-0.9852,-0.1905,-3.4963,-1.43,1.23,-4.23,-4.05,2.67,-1.37,-4.04,-4.06,-0.78,-1.14,-1.25,0.29,-2.55,-1.68,0.31,-4.6,-0.96,-4.48,-3.62,-2.5,2.36,-2.65,0.29,1.45,-3.85,-1.65,1.16,-2.51,-3.25,-2.93,-1.57,-0.48,0.18,-0.76,0.24,0.27,0.16,1.19,-0.04,1.07,0.62
196310,1.2861,-0.6491,1.2443,0.1,2.3724,1.1882,4.3011,2.3438,2.2012,3.9335,2.359,0.588,2.7346,2.0481,1.068,-0.4287,0.9057,2.3459,5.3382,0.6113,5.3261,1.7383,-0.2829,2.415,0.4857,2.41,-1.28,5.78,10.34,-1.15,4.25,2.51,3.38,3.48,5.72,-0.52,1.58,4.19,-0.49,10.14,2.28,3.16,9.45,-0.52,-0.67,3.4,1.51,8.66,1.65,1.77,1.41,0.45,1.11,0.68,3.14,2.53,-1.29,-0.1,2.75,-2.24,0.29,3.14,-0.66,-0.25,-1.88,2.00
196311,-3.3793,-4.0355,-1.5969,-1.0548,-1.0454,-4.1822,-1.7644,-0.7064,-0.1002,-0.1132,-3.0302,-1.524,-0.941,-0.7518,-1.2116,-0.8648,-0.8828,-0.4882,1.1451,3.5388,-1.2561,0.9849,-1.5542,-2.1322,1.3455,-0.44,-0.72,-5.63,-1.96,-0.18,-0.18,-1.44,-1.65,2.22,1.99,-1.05,-1.83,-0.79,-1.72,-5.42,5.54,1.56,0.67,-1.19,-1.02,4.16,-3.78,-0.27,-0.93,3.78,-4.03,-1.08,-3.61,-2.29,1.67,-0.85,-0.84,1.71,-0.45,2.22,0.27,-0.75,1.16,-0.07,-0.52,-0.86
196312,-2.3593,-1.1798,-0.9018,-1.6367,-1.052,-0.6814,-0.9143,1.1527,0.8901,0.1212,0.3589,1.4736,1.2737,1.7197,0.4665,-0.1318,1.1983,1.7274,3.1393,6.1498,2.6237,2.2981,2.2921,2.5149,2.1308,2.99,1.21,5.98,-2.13,-0.21,4.26,-0.69,1.54,4.51,3.3,0.81,1.51,1.86,-2.55,-1.2,-4.22,6.05,5.42,4.65,2.42,-0.14,0.93,3.26,0.31,4.17,-0.66,0.35,1.75,1.61,-2.82,1.83,-1.89,-0.12,0.08,-0.3,0.29,1.7,0.25,0.01,0.01,0.32
196401,3.9767,3.0833,4.1068,4.1398,4.9545,-1.8043,-0.6418,3.6688,1.4763,4.2346,0.1105,1.0158,2.495,3.9771,3.2152,-0.2988,1.7765,1.1774,3.6204,3.3373,3.0934,3.1881,1.7441,2.0144,1.6235,1.14,0.99,-1.69,-0.95,4.39,1.74,-0.83,3.68,3.26,2.26,2.02,4.43,3.72,-3.13,1.08,3.4,-0.03,4.44,4.85,1.4,3.35,2.05,3.05,1.84,3.86,-2.24,2.81,-0.47,-1.14,-2.33,2.24,0.08,1.59,0.22,1.5,0.3,1.06,-0.38,0.03,0.61,0.48
196402,2.9555,2.873,2.2555,0.2821,4.5557,1.616,1.7313,2.5109,2.1229,6.1003,0.1019,2.8322,1.774,3.7564,4.0122,2.522,1.4409,3.0066,7.4544,4.6097,1.8224,0.5124,1.0418,3.983,3.751,1.43,-0.17,2.64,2.25,6.79,0.94,1.84,1.66,2.24,3.73,4.81,2.89,3.51,5.01,3.68,5.09,5.7,0.12,1.07,0.87,-0.28,2.73,1.97,-0.32,7,1.94,1.56,7.08,3.76,1.06,1.54,0.32,2.83,0.06,0.85,0.26,0.24,0.21,1.37,-0.50,-0.44
196403,0.4966,1.3121,2.3753,3.5429,2.6887,2.322,3.244,3.472,5.6796,6.1528,-0.5576,2.5722,4.4163,5.7097,6.7543,1.9864,2.9255,5.2494,6.9476,0.7218,1.1585,0.7364,3.6898,3.8351,0.1494,1.96,6.93,10.37,2.72,-0.95,2.32,1.09,-1.94,2.64,0.45,4.84,6.97,6.57,3.6,0.62,1.74,5.28,-1.81,1.45,-0.75,-0.94,2.54,3.45,1.23,2.85,4.6,2.28,4.04,0.7,-0.29,1.41,1.41,3.32,-2.01,2.93,0.31,0.72,0.34,3.9,-0.19,-1.46
196404,-1.5521,2.6366,-0.4091,-0.878,-0.9517,-0.7625,-4.0694,0.6079,-1.6136,-0.6557,-2.0882,-1.0485,0.2559,-0.749,-1.0221,-2.6728,0.6352,1.6896,-2.0612,-2.2799,0.2273,1.4744,0.8217,-0.9047,2.4177,-1.07,-1.61,1.83,-4.16,2.12,-1.56,-0.62,-1.42,-1.18,-0.47,-0.5,-3.57,-0.14,-4.8,2.95,-4.44,13.4,-4.24,4.22,1.06,0.81,-0.12,-3.69,-1.16,-1.28,-0.02,3.05,1.86,-0.97,-3.7,0.1,-1.52,-0.55,-1.35,-1.08,0.29,-0.6,3.35,-2.44,2.53,1.44
